               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090582,            0.026496,                   0,             0.15444,              0.1861,            0.080965,            0.018777,            0.065197,            0.013496,                   0,              0.0703,              0.0033,              0.0033
                   1,            0.068384,            0.023005,                   0,             0.31719,             0.38213,             0.22699,            0.054248,             0.05631,            0.011945,                   0,            0.040169,            0.006502,            0.006502
                   2,            0.062738,            0.021277,                   0,             0.36772,             0.39206,             0.29793,            0.081656,              0.0521,            0.012231,                   0,           0.0099053,            0.009572,            0.009572
                   3,            0.059694,            0.020192,                   0,             0.32325,             0.26799,             0.21173,            0.049112,            0.060562,            0.011752,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.056656,            0.020019,                   0,             0.38574,             0.37469,             0.26304,             0.06562,            0.051149,            0.011261,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.055136,             0.02001,                   0,              0.4625,             0.48139,              0.4025,             0.10588,            0.048213,            0.011164,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053196,            0.019228,                   0,             0.45449,             0.45658,             0.36141,             0.10199,            0.048479,            0.011003,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.052641,            0.019368,                   0,             0.52609,             0.52357,             0.48277,              0.1371,            0.046284,            0.010483,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.051714,            0.019431,                   0,             0.49274,             0.50124,             0.45745,             0.12793,            0.045666,            0.010905,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.051274,            0.018988,                   0,             0.52019,             0.54094,             0.48915,             0.13044,            0.045456,            0.010526,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.050245,            0.018744,                   0,             0.57364,             0.54094,             0.49042,             0.13741,            0.046648,             0.01033,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.050677,            0.018874,                   0,             0.50654,             0.48139,             0.40597,              0.1126,            0.048169,            0.011814,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.050167,            0.018467,                   0,              0.5539,             0.49132,             0.44919,             0.12144,            0.047557,            0.010468,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.048839,            0.018749,                   0,             0.54163,             0.53598,             0.52365,             0.14705,            0.045839,            0.010593,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.048756,            0.018617,                   0,             0.51031,             0.52493,             0.41912,             0.12247,            0.046649,            0.010539,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.048444,            0.018704,                   0,             0.54256,             0.56508,             0.48366,             0.13831,            0.045389,            0.010526,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.047613,            0.018481,                   0,             0.55288,             0.49708,             0.50771,               0.148,            0.045246,            0.010552,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.047152,            0.018213,                   0,             0.53547,             0.53598,             0.46469,             0.12984,            0.045921,            0.010461,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.046905,            0.018599,                   0,             0.57818,              0.4938,             0.51111,             0.14459,            0.045141,             0.01038,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.046377,            0.018289,                   0,             0.61012,             0.52854,             0.56449,              0.1626,            0.045191,            0.010319,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.046614,            0.017657,                   0,             0.57237,             0.55466,             0.52301,             0.14572,             0.04398,            0.010456,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.045906,            0.018382,                   0,             0.54274,             0.54094,             0.47933,             0.14306,            0.045594,            0.010371,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.045135,            0.017726,                   0,             0.58688,             0.52605,             0.48409,             0.14176,            0.045694,            0.010551,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.044658,            0.017893,                   0,             0.54174,             0.59057,             0.51077,             0.15444,            0.044612,            0.010427,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.044889,            0.017753,                   0,             0.57162,             0.54591,             0.53488,             0.15601,            0.044336,            0.010599,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.044965,            0.017839,                   0,             0.60014,             0.52109,             0.53069,             0.16208,            0.046312,            0.010355,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.044104,            0.017679,                   0,              0.5739,             0.52109,             0.50669,             0.14556,             0.04636,            0.010366,                   0,             0.00505,             0.00505,             0.00505
                  27,              0.0435,            0.017512,                   0,              0.5738,             0.53598,              0.5112,             0.15059,            0.045216,            0.010538,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.04221,            0.017293,                   0,             0.57104,              0.4988,             0.48064,             0.14459,            0.046676,            0.010624,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.042667,            0.017479,                   0,             0.56486,             0.53102,              0.5088,             0.14566,            0.046105,            0.010493,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.042421,            0.017362,                   0,             0.58041,             0.51861,             0.48744,             0.13814,            0.046562,            0.010732,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.04203,              0.0172,                   0,             0.62864,             0.56707,             0.58393,              0.1685,              0.0454,            0.010386,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.041594,            0.017111,                   0,             0.62983,             0.57816,             0.56815,             0.16171,            0.045809,            0.010412,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.040859,            0.016956,                   0,             0.63444,             0.55583,             0.55039,             0.16704,            0.044644,            0.010213,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.040644,             0.01607,                   0,             0.58384,             0.57072,             0.54215,             0.14679,            0.047182,            0.010462,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.040315,              0.0171,                   0,             0.57321,             0.54094,             0.49461,             0.14231,            0.045831,            0.010622,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.039558,            0.016222,                   0,             0.55552,             0.59553,             0.53658,             0.15754,            0.046026,            0.010683,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.039924,            0.016629,                   0,             0.59719,              0.5739,             0.55545,             0.16599,            0.044842,            0.010688,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.038885,            0.016698,                   0,             0.59706,             0.57072,             0.52811,             0.15526,            0.046697,            0.010849,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.038403,            0.015932,                   0,             0.68348,             0.57868,             0.58145,             0.16866,            0.046191,            0.010579,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.037922,            0.016099,                   0,             0.64369,             0.57568,             0.56097,             0.17573,             0.04529,            0.010511,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.037242,            0.015853,                   0,             0.57328,             0.54839,             0.51332,             0.15342,            0.045733,            0.010955,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.037415,            0.015596,                   0,             0.59588,             0.55335,             0.52196,             0.15467,            0.046434,            0.010878,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.03696,            0.015721,                   0,             0.64124,             0.58809,             0.57821,             0.16719,            0.045834,            0.010853,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.036463,            0.015497,                   0,             0.62348,             0.53598,             0.52704,             0.16032,            0.046852,            0.010817,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.035647,            0.015541,                   0,             0.62213,             0.57568,             0.57428,             0.16664,            0.045996,            0.011085,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.035666,            0.015541,                   0,             0.63594,             0.57649,             0.55581,             0.16436,            0.046131,            0.010855,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035569,            0.015254,                   0,             0.55741,             0.56824,             0.49631,             0.15195,            0.046104,            0.010937,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.034941,            0.015276,                   0,             0.63163,             0.57013,              0.5569,             0.17264,            0.046126,            0.010889,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.034939,            0.014798,                   0,             0.58679,             0.57568,             0.53279,             0.16149,            0.046462,             0.01103,                   0,            0.000496,            0.000496,            0.000496
